Txt,Type,Subtype,Answer,File
1/4 Hello dear learner and welcome to the Community Health Volunteer training. The first topic you will learn about is Family Planning.,M,,,
2/4 During the week you will receive sms and listen to recorded phone stories and lectures all related to Family Planning.,M,,,
3/4 Please follow the instructions to go through all the activities. You can contact your CHEW for technical help on using the mobile phone.,M,,,
4/4 To start the first activity- please dial 0800 722 689.,M,,,
Audio Clip 1,Audio,Listen,,t1s1a2f1.mp3
Audio Clip 2,Audio,Listen,,t1s1a2f2.mp3
Audio Clip 3,Audio,Listen,,t1s1a2f3.mp3
To start the next activity- please dial 0800 722 689.,M,,,
Audio Clip 4,Audio,Listen,,t1s1a3f1.mp3
Audio Clip 5,Audio,Listen,,t1s1a3f2.mp3
Audio Clip 6,Audio,Record,,s4.mp3
Audio Clip 7,Audio,Listen,,s5.mp3
Audio Clip 8,Audio,Listen,,t1s1a3f3.mp3
Audio Clip 9,Audio,Listen,,t1s1a3f4.mp3
"1/3 Objectives of the Family Planning topic: By the end of this topic- you will be able to:
A. Outline the importance of Family Planning",M,,,
"2/3 By the end of this topic- you will be able to:
B. Describe types of family planning",M,,,
"3/3 By the end of this topic- you will be able to:
C. Identify common myths and misconceptions on family planning.",M,,,
Please call 0800 722 689 to continue to the next exercise.,M,,,
Audio Clip 10,Audio,Listen,,t1s1a5f1.mp3
Audio Clip 11,Audio,Record,,s4.mp3
Audio Clip 12,Audio,Listen,,t1s1a5f2.mp3
1/2 Thank you for going through the first part of the topic. You should now have a good understanding of the main objectives for this topic.,M,,,
2/2 Next we will have a detailed look into the Family Planning topic. You will soon get an sms to give you more instructions.,M,,,
1/5 Welcome to the second part of the topic. You will learn about the importance- types and common myths and misconceptions on family planning.,M,,,
2/5 Next you will be listening to several voice recordings and reading sms that contain information on the topic.,M,,,
3/5 At the end you will be required to conduct an assignment and answer some questions to check what you have learned. Welcome and happy learning!,M,,,
4/5 As we prepare to discuss the importance of family planning- we would like to know your personal thoughts about it.,M,,,
5/5 What do you think is the importance of family planning? Please answer the question with your own words as a reply to this sms.,Q,Response,,
1/2 Thank you for your answer. Family planning helps improve the quality of life for you- your household- and community.,M,,,
2/2 Please dial 0800 722 689 to hear a lecture on the importance of family planning.,M,,,
Audio Clip 13,Audio,Listen,,t1s2a3f1.mp3
Audio Clip 14,Audio,Listen,,t1s2a3f2.mp3
Audio Clip 15,Audio,Listen,,t1s2a3f3.mp3
To start the next activity- please dial 0800 722 689.,M,,,
Audio Clip 16,Audio,Listen,,t1s2a4f1.mp3
Audio Clip 17,Audio,Listen,,t1s2a4f2.mp3
Audio Clip 18,Audio,Listen,,s1.mp3
Hello- you now understand the importance of family planning. You will now learn the types of family planning methods but first- answer the quiz you will receive next.,M,,,
"Which of the following is a family planning method? Please reply 1/2/3.
1. Contraceptive pills
2. Having sex while standing
3. Drinking juice after sex",Q,MC,1,
